iters_per_t,total_sa_iters_approx,label,run,seed,n_assignments,elapsed_s,layer3_ms,layer4_ms,utility_score,solver_used,is_feasible,error
0,0,0 (no SA),1,100,105,1.763,1107,39,0.655368,tabu_search,True,
0,0,0 (no SA),2,200,105,1.749,1112,38,0.655368,tabu_search,True,
0,0,0 (no SA),3,300,105,1.728,1075,42,0.655368,tabu_search,True,
1,122,122,1,100,105,2.896,1068,1227,0.655647,tabu_search,True,
1,122,122,2,200,105,2.663,1063,997,0.663747,tabu_search,True,
1,122,122,3,300,105,2.855,1109,1116,0.667757,tabu_search,True,
5,610,610,1,100,105,6.748,1083,5067,0.655647,tabu_search,True,
5,610,610,2,200,105,6.358,1134,4590,0.670504,tabu_search,True,
5,610,610,3,300,105,6.969,1120,5224,0.658588,tabu_search,True,
10,1220,1220,1,100,105,12.385,1087,10656,0.687626,tabu_search,True,
10,1220,1220,2,200,105,11.763,1128,10027,0.700214,tabu_search,True,
10,1220,1220,3,300,105,11.639,1108,9920,0.664124,tabu_search,True,
25,3050,3050,1,100,105,27.466,1103,25719,0.714738,tabu_search,True,
25,3050,3050,2,200,105,29.335,1120,27586,0.727737,tabu_search,True,
25,3050,3050,3,300,105,27.877,1151,26060,0.702894,tabu_search,True,
50,6100,6100,1,100,105,55.792,1113,54064,0.742586,tabu_search,True,
50,6100,6100,2,200,105,68.829,1102,67118,0.729347,tabu_search,True,
50,6100,6100,3,300,105,56.208,1104,54468,0.75996,tabu_search,True,
100,12200,12200,1,100,105,109.23,1139,107486,0.766291,tabu_search,True,
100,12200,12200,2,200,105,108.903,1087,107228,0.765993,tabu_search,True,
100,12200,12200,3,300,105,111.427,1138,109617,0.761128,tabu_search,True,
200,24400,24400,1,100,105,171.805,1095,170073,0.77073,tabu_search,True,
200,24400,24400,2,200,105,239.349,1120,237620,0.774687,tabu_search,True,
200,24400,24400,3,300,105,285.258,1701,282589,0.778947,tabu_search,True,
500,61000,61000,1,100,105,388.158,1651,385627,0.801758,tabu_search,True,
500,61000,61000,2,200,105,718.399,887,717006,0.803338,tabu_search,True,
500,61000,61000,3,300,105,427.07,1575,424696,0.792959,tabu_search,True,
