iters_per_t,total_sa_iters_approx,label,run,seed,elapsed_s,layer3_ms,layer4_ms,utility_score,solver_used,is_feasible,error
0,0,0 (no SA),1,100,4.404,2974,16,0.347059,backtracking,True,
0,0,0 (no SA),2,200,3.674,3188,14,0.33098,backtracking,True,
0,0,0 (no SA),3,300,7.303,6611,21,0.349237,backtracking,True,
1,122,122,1,100,4.411,3698,153,0.361308,backtracking,True,
1,122,122,2,200,3.942,3294,131,0.331531,backtracking,True,
1,122,122,3,300,7.176,6185,126,0.349443,backtracking,True,
5,610,610,1,100,3.965,2975,439,0.362488,backtracking,True,
5,610,610,2,200,3.38,2398,579,0.332927,backtracking,True,
5,610,610,3,300,6.19,4976,616,0.350094,backtracking,True,
10,1220,1220,1,100,4.159,2903,815,0.361631,backtracking,True,
10,1220,1220,2,200,4.152,2372,1339,0.333083,backtracking,True,
10,1220,1220,3,300,6.808,4898,1301,0.350137,backtracking,True,
25,3050,3050,1,100,5.028,2955,1635,0.362011,backtracking,True,
25,3050,3050,2,200,6.504,2588,3472,0.333611,backtracking,True,
25,3050,3050,3,300,9.744,6280,2655,0.349918,backtracking,True,
50,6100,6100,1,100,8.294,2904,4943,0.363135,backtracking,True,
50,6100,6100,2,200,8.22,2775,5032,0.3329,backtracking,True,
50,6100,6100,3,300,10.808,4620,5598,0.350236,backtracking,True,
100,12200,12200,1,100,12.922,2812,9666,0.363326,backtracking,True,
100,12200,12200,2,200,15.572,2333,12796,0.333053,backtracking,True,
100,12200,12200,3,300,15.654,4699,10373,0.350217,backtracking,True,
200,24400,24400,1,100,18.732,2976,15128,0.363049,backtracking,True,
200,24400,24400,2,200,20.176,2574,17089,0.333137,backtracking,True,
200,24400,24400,3,300,22.83,5033,17220,0.351101,backtracking,True,
500,61000,61000,1,100,30.374,2957,26942,0.363145,backtracking,True,
500,61000,61000,2,200,36.196,2289,33386,0.333374,backtracking,True,
500,61000,61000,3,300,40.248,4597,35079,0.351268,backtracking,True,
